TABLE_CATALOG;TABLE_SCHEMA;TABLE_NAME;COLUMN_NAME;ORDINAL_POSITION;COLUMN_DEFAULT;IS_NULLABLE;DATA_TYPE;CHARACTER_MAXIMUM_LENGTH;CHARACTER_OCTET_LENGTH;NUMERIC_PRECISION;NUMERIC_SCALE;DATETIME_PRECISION;CHARACTER_SET_NAME;COLLATION_NAME;COLUMN_TYPE;COLUMN_KEY;EXTRA;PRIVILEGES;COLUMN_COMMENT;GENERATION_EXPRESSION;SRS_ID
def;information_schema;CHARACTER_SETS;MAXLEN;4;NULL;NO;int;NULL;NULL;10;0;NULL;NULL;NULL;"int unsigned";;;select;;;NULL
def;information_schema;CHECK_CONSTRAINTS;CHECK_CLAUSE;4;NULL;NO;longtext;4294967295;4294967295;NULL;NULL;NULL;utf8;utf8_bin;longtext;;;select;;;NULL
def;information_schema;CHECK_CONSTRAINTS;CONSTRAINT_CATALOG;1;NULL;YES;varchar;64;192;NULL;NULL;NULL;utf8;utf8_tolower_ci;varchar(64);;;select;;;NULL
def;information_schema;CHECK_CONSTRAINTS;CONSTRAINT_NAME;3;NULL;NO;varchar;64;192;NULL;NULL;NULL;utf8;utf8_tolower_ci;varchar(64);;;select;;;NULL
def;information_schema;CHECK_CONSTRAINTS;CONSTRAINT_SCHEMA;2;NULL;YES;varchar;64;192;NULL;NULL;NULL;utf8;utf8_tolower_ci;varchar(64);;;select;;;NULL
def;information_schema;COLLATIONS;CHARACTER_SET_NAME;2;NULL;NO;varchar;64;192;NULL;NULL;NULL;utf8;utf8_general_ci;varchar(64);;;select;;;NULL
def;information_schema;COLLATIONS;COLLATION_NAME;1;NULL;NO;varchar;64;192;NULL;NULL;NULL;utf8;utf8_general_ci;varchar(64);;;select;;;NULL
def;information_schema;COLLATIONS;ID;3;0;NO;bigint;NULL;NULL;20;0;NULL;NULL;NULL;"bigint unsigned";;;select;;;NULL
def;information_schema;COLLATIONS;IS_COMPILED;5;;NO;varchar;3;9;NULL;NULL;NULL;utf8;utf8_general_ci;varchar(3);;;select;;;NULL
def;information_schema;COLLATIONS;IS_DEFAULT;4;;NO;varchar;3;9;NULL;NULL;NULL;utf8;utf8_general_ci;varchar(3);;;select;;;NULL
def;information_schema;COLLATIONS;PAD_ATTRIBUTE;7;NULL;NO;enum;9;27;NULL;NULL;NULL;utf8;utf8_bin;"enum('PAD SPACE','NO PAD')";;;select;;;NULL
def;information_schema;COLLATIONS;SORTLEN;6;NULL;NO;int;NULL;NULL;10;0;NULL;NULL;NULL;"int unsigned";;;select;;;NULL
def;information_schema;COLLATION_CHARACTER_SET_APPLICABILITY;CHARACTER_SET_NAME;2;NULL;NO;varchar;64;192;NULL;NULL;NULL;utf8;utf8_general_ci;varchar(64);;;select;;;NULL
def;information_schema;COLLATION_CHARACTER_SET_APPLICABILITY;COLLATION_NAME;1;NULL;NO;varchar;64;192;NULL;NULL;NULL;utf8;utf8_general_ci;varchar(64);;;select;;;NULL
def;information_schema;COLUMNS;CHARACTER_MAXIMUM_LENGTH;9;NULL;YES;bigint;NULL;NULL;19;0;NULL;NULL;NULL;bigint;;;select;;;NULL
def;information_schema;COLUMNS;CHARACTER_OCTET_LENGTH;10;NULL;YES;bigint;NULL;NULL;19;0;NULL;NULL;NULL;bigint;;;select;;;NULL
def;information_schema;COLUMNS;CHARACTER_SET_NAME;14;NULL;YES;varchar;64;192;NULL;NULL;NULL;utf8;utf8_general_ci;varchar(64);;;select;;;NULL
def;information_schema;COLUMNS;COLLATION_NAME;15;NULL;YES;varchar;64;192;NULL;NULL;NULL;utf8;utf8_general_ci;varchar(64);;;select;;;NULL
def;information_schema;COLUMNS;COLUMN_COMMENT;20;NULL;NO;text;65535;65535;NULL;NULL;NULL;utf8;utf8_bin;text;;;select;;;NULL
def;information_schema;COLUMNS;COLUMN_DEFAULT;6;NULL;YES;text;65535;65535;NULL;NULL;NULL;utf8;utf8_bin;text;;;select;;;NULL
def;information_schema;COLUMNS;COLUMN_KEY;17;NULL;NO;enum;3;9;NULL;NULL;NULL;utf8;utf8_bin;enum('','PRI','UNI','MUL');;;select;;;NULL
def;information_schema;COLUMNS;COLUMN_NAME;4;NULL;YES;varchar;64;192;NULL;NULL;NULL;utf8;utf8_tolower_ci;varchar(64);;;select;;;NULL
def;information_schema;COLUMNS;COLUMN_TYPE;16;NULL;NO;mediumtext;16777215;16777215;NULL;NULL;NULL;utf8;utf8_bin;mediumtext;;;select;;;NULL
def;information_schema;COLUMNS;DATA_TYPE;8;NULL;YES;longtext;4294967295;4294967295;NULL;NULL;NULL;utf8;utf8_bin;longtext;;;select;;;NULL
def;information_schema;COLUMNS;DATETIME_PRECISION;13;NULL;YES;int;NULL;NULL;10;0;NULL;NULL;NULL;"int unsigned";;;select;;;NULL
def;information_schema;COLUMNS;EXTRA;18;NULL;YES;varchar;256;768;NULL;NULL;NULL;utf8;utf8_general_ci;varchar(256);;;select;;;NULL
def;information_schema;COLUMNS;GENERATION_EXPRESSION;21;NULL;NO;longtext;4294967295;4294967295;NULL;NULL;NULL;utf8;utf8_bin;longtext;;;select;;;NULL
def;information_schema;COLUMNS;IS_NULLABLE;7;;NO;varchar;3;9;NULL;NULL;NULL;utf8;utf8_general_ci;varchar(3);;;select;;;NULL
def;information_schema;COLUMNS;NUMERIC_PRECISION;11;NULL;YES;bigint;NULL;NULL;20;0;NULL;NULL;NULL;"bigint unsigned";;;select;;;NULL
def;information_schema;COLUMNS;NUMERIC_SCALE;12;NULL;YES;bigint;NULL;NULL;20;0;NULL;NULL;NULL;"bigint unsigned";;;select;;;NULL
def;information_schema;COLUMNS;ORDINAL_POSITION;5;NULL;NO;int;NULL;NULL;10;0;NULL;NULL;NULL;"int unsigned";;;select;;;NULL
def;information_schema;COLUMNS;PRIVILEGES;19;NULL;YES;varchar;154;462;NULL;NULL;NULL;utf8;utf8_general_ci;varchar(154);;;select;;;NULL
def;information_schema;COLUMNS;SRS_ID;22;NULL;YES;int;NULL;NULL;10;0;NULL;NULL;NULL;"int unsigned";;;select;;;NULL
def;information_schema;COLUMNS;TABLE_CATALOG;1;NULL;YES;varchar;64;192;NULL;NULL;NULL;utf8;utf8_tolower_ci;varchar(64);;;select;;;NULL
def;information_schema;COLUMNS;TABLE_NAME;3;NULL;YES;varchar;64;192;NULL;NULL;NULL;utf8;utf8_tolower_ci;varchar(64);;;select;;;NULL
def;information_schema;COLUMNS;TABLE_SCHEMA;2;NULL;YES;varchar;64;192;NULL;NULL;NULL;utf8;utf8_tolower_ci;varchar(64);;;select;;;NULL
def;information_schema;COLUMNS_EXTENSIONS;COLUMN_NAME;4;NULL;YES;varchar;64;192;NULL;NULL;NULL;utf8;utf8_tolower_ci;varchar(64);;;select;;;NULL
def;information_schema;COLUMNS_EXTENSIONS;ENGINE_ATTRIBUTE;5;NULL;YES;json;NULL;NULL;NULL;NULL;NULL;NULL;NULL;json;;;select;;;NULL
def;information_schema;COLUMNS_EXTENSIONS;SECONDARY_ENGINE_ATTRIBUTE;6;NULL;YES;json;NULL;NULL;NULL;NULL;NULL;NULL;NULL;json;;;select;;;NULL
def;information_schema;COLUMNS_EXTENSIONS;TABLE_CATALOG;1;NULL;NO;varchar;64;192;NULL;NULL;NULL;utf8;utf8_tolower_ci;varchar(64);;;select;;;NULL
def;information_schema;COLUMNS_EXTENSIONS;TABLE_NAME;3;NULL;NO;varchar;64;192;NULL;NULL;NULL;utf8;utf8_tolower_ci;varchar(64);;;select;;;NULL
def;information_schema;COLUMNS_EXTENSIONS;TABLE_SCHEMA;2;NULL;NO;varchar;64;192;NULL;NULL;NULL;utf8;utf8_tolower_ci;varchar(64);;;select;;;NULL
def;information_schema;COLUMN_STATISTICS;COLUMN_NAME;3;NULL;NO;varchar;64;192;NULL;NULL;NULL;utf8;utf8_tolower_ci;varchar(64);;;select;;;NULL
def;information_schema;COLUMN_STATISTICS;HISTOGRAM;4;NULL;NO;json;NULL;NULL;NULL;NULL;NULL;NULL;NULL;json;;;select;;;NULL
def;information_schema;COLUMN_STATISTICS;SCHEMA_NAME;1;NULL;NO;varchar;64;192;NULL;NULL;NULL;utf8;utf8_tolower_ci;varchar(64);;;select;;;NULL
def;information_schema;COLUMN_STATISTICS;TABLE_NAME;2;NULL;NO;varchar;64;192;NULL;NULL;NULL;utf8;utf8_tolower_ci;varchar(64);;;select;;;NULL
def;information_schema;EVENTS;CHARACTER_SET_CLIENT;22;NULL;NO;varchar;64;192;NULL;NULL;NULL;utf8;utf8_general_ci;varchar(64);;;select;;;NULL
def;information_schema;EVENTS;COLLATION_CONNECTION;23;NULL;NO;varchar;64;192;NULL;NULL;NULL;utf8;utf8_general_ci;varchar(64);;;select;;;NULL
def;information_schema;EVENTS;CREATED;17;NULL;NO;timestamp;NULL;NULL;NULL;NULL;0;NULL;NULL;timestamp;;;select;;;NULL
def;information_schema;EVENTS;DATABASE_COLLATION;24;NULL;NO;varchar;64;192;NULL;NULL;NULL;utf8;utf8_general_ci;varchar(64);;;select;;;NULL
def;information_schema;EVENTS;DEFINER;4;NULL;NO;varchar;288;864;NULL;NULL;NULL;utf8;utf8_bin;varchar(288);;;select;;;NULL
def;information_schema;EVENTS;ENDS;14;NULL;YES;datetime;NULL;NULL;NULL;NULL;0;NULL;NULL;datetime;;;select;;;NULL
def;information_schema;EVENTS;EVENT_BODY;6;;NO;varchar;3;9;NULL;NULL;NULL;utf8;utf8_general_ci;varchar(3);;;select;;;NULL
def;information_schema;EVENTS;EVENT_CATALOG;1;NULL;YES;varchar;64;192;NULL;NULL;NULL;utf8;utf8_tolower_ci;varchar(64);;;select;;;NULL
def;information_schema;EVENTS;EVENT_COMMENT;20;NULL;NO;varchar;2048;6144;NULL;NULL;NULL;utf8;utf8_bin;varchar(2048);;;select;;;NULL
def;information_schema;EVENTS;EVENT_DEFINITION;7;NULL;NO;longtext;4294967295;4294967295;NULL;NULL;NULL;utf8;utf8_bin;longtext;;;select;;;NULL
def;information_schema;EVENTS;EVENT_NAME;3;NULL;NO;varchar;64;192;NULL;NULL;NULL;utf8;utf8_general_ci;varchar(64);;;select;;;NULL
def;information_schema;EVENTS;EVENT_SCHEMA;2;NULL;YES;varchar;64;192;NULL;NULL;NULL;utf8;utf8_tolower_ci;varchar(64);;;select;;;NULL
def;information_schema;EVENTS;EVENT_TYPE;8;;NO;varchar;9;27;NULL;NULL;NULL;utf8;utf8_general_ci;varchar(9);;;select;;;NULL
def;information_schema;EVENTS;EXECUTE_AT;9;NULL;YES;datetime;NULL;NULL;NULL;NULL;0;NULL;NULL;datetime;;;select;;;NULL
def;information_schema;EVENTS;INTERVAL_FIELD;11;NULL;YES;enum;18;54;NULL;NULL;NULL;utf8;utf8_bin;enum('YEAR','QUARTER','MONTH','DAY','HOUR','MINUTE','WEEK','SECOND','MICROSECOND','YEAR_MONTH','DAY_HOUR','DAY_MINUTE','DAY_SECOND','HOUR_MINUTE','HOUR_SECOND','MINUTE_SECOND','DAY_MICROSECOND','HOUR_MICROSECOND','MINUTE_MICROSECOND','SECOND_MICROSECOND');;;select;;;NULL
def;information_schema;EVENTS;INTERVAL_VALUE;10;NULL;YES;varchar;256;768;NULL;NULL;NULL;utf8;utf8_general_ci;varchar(256);;;select;;;NULL
def;information_schema;EVENTS;LAST_ALTERED;18;NULL;NO;timestamp;NULL;NULL;NULL;NULL;0;NULL;NULL;timestamp;;;select;;;NULL
def;information_schema;EVENTS;LAST_EXECUTED;19;NULL;YES;datetime;NULL;NULL;NULL;NULL;0;NULL;NULL;datetime;;;select;;;NULL
def;information_schema;EVENTS;ON_COMPLETION;16;;NO;varchar;12;36;NULL;NULL;NULL;utf8;utf8_general_ci;varchar(12);;;select;;;NULL
def;information_schema;EVENTS;ORIGINATOR;21;NULL;NO;int;NULL;NULL;10;0;NULL;NULL;NULL;"int unsigned";;;select;;;NULL
def;information_schema;EVENTS;SQL_MODE;12;NULL;NO;set;520;1560;NULL;NULL;NULL;utf8;utf8_bin;set('REAL_AS_FLOAT','PIPES_AS_CONCAT','ANSI_QUOTES','IGNORE_SPACE','NOT_USED','ONLY_FULL_GROUP_BY','NO_UNSIGNED_SUBTRACTION','NO_DIR_IN_CREATE','NOT_USED_9','NOT_USED_10','NOT_USED_11','NOT_USED_12','NOT_USED_13','NOT_USED_14','NOT_USED_15','NOT_USED_16','NOT_USED_17','NOT_USED_18','ANSI','NO_AUTO_VALUE_ON_ZERO','NO_BACKSLASH_ESCAPES','STRICT_TRANS_TABLES','STRICT_ALL_TABLES','NO_ZERO_IN_DATE','NO_ZERO_DATE','ALLOW_INVALID_DATES','ERROR_FOR_DIVISION_BY_ZERO','TRADITIONAL','NOT_USED_29','HIGH_NOT_PRECEDENCE','NO_ENGINE_SUBSTITUTION','PAD_CHAR_TO_FULL_LENGTH','TIME_TRUNCATE_FRACTIONAL');;;select;;;NULL
def;information_schema;EVENTS;STARTS;13;NULL;YES;datetime;NULL;NULL;NULL;NULL;0;NULL;NULL;datetime;;;select;;;NULL
def;information_schema;EVENTS;STATUS;15;NULL;NO;enum;18;54;NULL;NULL;NULL;utf8;utf8_bin;enum('ENABLED','DISABLED','SLAVESIDE_DISABLED');;;select;;;NULL
def;information_schema;EVENTS;TIME_ZONE;5;NULL;NO;varchar;64;192;NULL;NULL;NULL;utf8;utf8_bin;varchar(64);;;select;;;NULL
def;information_schema;FILES;AUTOEXTEND_SIZE;19;NULL;YES;bigint;NULL;NULL;19;0;NULL;NULL;NULL;bigint;;;select;;;NULL
def;information_schema;FILES;AVG_ROW_LENGTH;28;NULL;YES;binary;0;0;NULL;NULL;NULL;NULL;NULL;binary(0);;;select;;;NULL
def;information_schema;FILES;CHECK_TIME;35;NULL;YES;binary;0;0;NULL;NULL;NULL;NULL;NULL;binary(0);;;select;;;NULL
def;information_schema;FILES;CHECKSUM;36;NULL;YES;binary;0;0;NULL;NULL;NULL;NULL;NULL;binary(0);;;select;;;NULL
def;information_schema;FILES;CREATE_TIME;33;NULL;YES;binary;0;0;NULL;NULL;NULL;NULL;NULL;binary(0);;;select;;;NULL
def;information_schema;FILES;CREATION_TIME;20;NULL;YES;binary;0;0;NULL;NULL;NULL;NULL;NULL;binary(0);;;select;;;NULL
def;information_schema;FILES;DATA_FREE;32;NULL;YES;bigint;NULL;NULL;19;0;NULL;NULL;NULL;bigint;;;select;;;NULL
def;information_schema;FILES;DATA_LENGTH;29;NULL;YES;binary;0;0;NULL;NULL;NULL;NULL;NULL;binary(0);;;select;;;NULL
def;information_schema;FILES;DELETED_ROWS;12;NULL;YES;binary;0;0;NULL;NULL;NULL;NULL;NULL;binary(0);;;select;;;NULL
def;information_schema;FILES;ENGINE;10;NULL;NO;varchar;64;192;NULL;NULL;NULL;utf8;utf8_general_ci;varchar(64);;;select;;;NULL
def;information_schema;FILES;EXTENT_SIZE;16;NULL;YES;bigint;NULL;NULL;19;0;NULL;NULL;NULL;bigint;;;select;;;NULL
def;information_schema;FILES;EXTRA;38;NULL;YES;varchar;256;768;NULL;NULL;NULL;utf8;utf8_general_ci;varchar(256);;;select;;;NULL
def;information_schema;FILES;FILE_ID;1;NULL;YES;bigint;NULL;NULL;19;0;NULL;NULL;NULL;bigint;;;select;;;NULL
def;information_schema;FILES;FILE_NAME;2;NULL;YES;text;65535;65535;NULL;NULL;NULL;utf8;utf8_bin;text;;;select;;;NULL
def;information_schema;FILES;FILE_TYPE;3;NULL;YES;varchar;256;768;NULL;NULL;NULL;utf8;utf8_general_ci;varchar(256);;;select;;;NULL
def;information_schema;FILES;FREE_EXTENTS;14;NULL;YES;bigint;NULL;NULL;19;0;NULL;NULL;NULL;bigint;;;select;;;NULL
def;information_schema;FILES;FULLTEXT_KEYS;11;NULL;YES;binary;0;0;NULL;NULL;NULL;NULL;NULL;binary(0);;;select;;;NULL
def;information_schema;FILES;INDEX_LENGTH;31;NULL;YES;binary;0;0;NULL;NULL;NULL;NULL;NULL;binary(0);;;select;;;NULL
def;information_schema;FILES;INITIAL_SIZE;17;NULL;YES;bigint;NULL;NULL;19;0;NULL;NULL;NULL;bigint;;;select;;;NULL
def;information_schema;FILES;LAST_ACCESS_TIME;22;NULL;YES;binary;0;0;NULL;NULL;NULL;NULL;NULL;binary(0);;;select;;;NULL
def;information_schema;FILES;LAST_UPDATE_TIME;21;NULL;YES;binary;0;0;NULL;NULL;NULL;NULL;NULL;binary(0);;;select;;;NULL
def;information_schema;FILES;LOGFILE_GROUP_NAME;8;NULL;YES;varchar;256;768;NULL;NULL;NULL;utf8;utf8_general_ci;varchar(256);;;select;;;NULL
def;information_schema;FILES;LOGFILE_GROUP_NUMBER;9;NULL;YES;bigint;NULL;NULL;19;0;NULL;NULL;NULL;bigint;;;select;;;NULL
def;information_schema;FILES;MAX_DATA_LENGTH;30;NULL;YES;binary;0;0;NULL;NULL;NULL;NULL;NULL;binary(0);;;select;;;NULL
def;information_schema;FILES;MAXIMUM_SIZE;18;NULL;YES;bigint;NULL;NULL;19;0;NULL;NULL;NULL;bigint;;;select;;;NULL
def;information_schema;FILES;RECOVER_TIME;23;NULL;YES;binary;0;0;NULL;NULL;NULL;NULL;NULL;binary(0);;;select;;;NULL
def;information_schema;FILES;ROW_FORMAT;26;NULL;YES;varchar;256;768;NULL;NULL;NULL;utf8;utf8_general_ci;varchar(256);;;select;;;NULL
def;information_schema;FILES;STATUS;37;NULL;YES;varchar;256;768;NULL;NULL;NULL;utf8;utf8_general_ci;varchar(256);;;select;;;NULL
def;information_schema;FILES;TABLE_CATALOG;5;;NO;char;0;0;NULL;NULL;NULL;utf8;utf8_general_ci;char(0);;;select;;;NULL
def;information_schema;FILES;TABLE_NAME;7;NULL;YES;binary;0;0;NULL;NULL;NULL;NULL;NULL;binary(0);;;select;;;NULL
def;information_schema;FILES;TABLE_ROWS;27;NULL;YES;binary;0;0;NULL;NULL;NULL;NULL;NULL;binary(0);;;select;;;NULL
def;information_schema;FILES;TABLE_SCHEMA;6;NULL;YES;binary;0;0;NULL;NULL;NULL;NULL;NULL;binary(0);;;select;;;NULL
def;information_schema;FILES;TABLESPACE_NAME;4;NULL;NO;varchar;268;804;NULL;NULL;NULL;utf8;utf8_bin;varchar(268);;;select;;;NULL
def;information_schema;FILES;TOTAL_EXTENTS;15;NULL;YES;bigint;NULL;NULL;19;0;NULL;NULL;NULL;bigint;;;select;;;NULL
def;information_schema;FILES;TRANSACTION_COUNTER;24;NULL;YES;binary;0;0;NULL;NULL;NULL;NULL;NULL;binary(0);;;select;;;NULL
def;information_schema;FILES;UPDATE_COUNT;13;NULL;YES;binary;0;0;NULL;NULL;NULL;NULL;NULL;binary(0);;;select;;;NULL
def;information_schema;FILES;UPDATE_TIME;34;NULL;YES;binary;0;0;NULL;NULL;NULL;NULL;NULL;binary(0);;;select;;;NULL
def;information_schema;FILES;VERSION;25;NULL;YES;bigint;NULL;NULL;19;0;NULL;NULL;NULL;bigint;;;select;;;NULL
def;information_schema;INNODB_DATAFILES;PATH;2;NULL;NO;varchar;512;1536;NULL;NULL;NULL;utf8;utf8_bin;varchar(512);;;select;;;NULL
def;information_schema;INNODB_DATAFILES;SPACE;1;NULL;YES;varbinary;256;256;NULL;NULL;NULL;NULL;NULL;varbinary(256);;;select;;;NULL
def;information_schema;INNODB_FOREIGN;FOR_NAME;2;NULL;YES;varchar;129;387;NULL;NULL;NULL;utf8;utf8_tolower_ci;varchar(129);;;select;;;NULL
def;information_schema;INNODB_FOREIGN;ID;1;NULL;YES;varchar;129;387;NULL;NULL;NULL;utf8;utf8_tolower_ci;varchar(129);;;select;;;NULL
def;information_schema;INNODB_FOREIGN;N_COLS;4;0;NO;bigint;NULL;NULL;19;0;NULL;NULL;NULL;bigint;;;select;;;NULL
def;information_schema;INNODB_FOREIGN;REF_NAME;3;NULL;YES;varchar;129;387;NULL;NULL;NULL;utf8;utf8_tolower_ci;varchar(129);;;select;;;NULL
def;information_schema;INNODB_FOREIGN;TYPE;5;0;NO;bigint;NULL;NULL;20;0;NULL;NULL;NULL;"bigint unsigned";;;select;;;NULL
def;information_schema;INNODB_FOREIGN_COLS;FOR_COL_NAME;2;NULL;NO;varchar;64;192;NULL;NULL;NULL;utf8;utf8_tolower_ci;varchar(64);;;select;;;NULL
def;information_schema;INNODB_FOREIGN_COLS;ID;1;NULL;YES;varchar;129;387;NULL;NULL;NULL;utf8;utf8_tolower_ci;varchar(129);;;select;;;NULL
def;information_schema;INNODB_FOREIGN_COLS;POS;4;NULL;NO;int;NULL;NULL;10;0;NULL;NULL;NULL;"int unsigned";;;select;;;NULL
def;information_schema;INNODB_FOREIGN_COLS;REF_COL_NAME;3;NULL;NO;varchar;64;192;NULL;NULL;NULL;utf8;utf8_tolower_ci;varchar(64);;;select;;;NULL
def;information_schema;INNODB_FIELDS;INDEX_ID;1;NULL;YES;varbinary;256;256;NULL;NULL;NULL;NULL;NULL;varbinary(256);;;select;;;NULL
def;information_schema;INNODB_FIELDS;NAME;2;NULL;NO;varchar;64;192;NULL;NULL;NULL;utf8;utf8_tolower_ci;varchar(64);;;select;;;NULL
def;information_schema;INNODB_FIELDS;POS;3;0;NO;bigint;NULL;NULL;20;0;NULL;NULL;NULL;"bigint unsigned";;;select;;;NULL
def;information_schema;INNODB_TABLESPACES_BRIEF;FLAG;4;NULL;YES;varbinary;256;256;NULL;NULL;NULL;NULL;NULL;varbinary(256);;;select;;;NULL
def;information_schema;INNODB_TABLESPACES_BRIEF;NAME;2;NULL;NO;varchar;268;804;NULL;NULL;NULL;utf8;utf8_bin;varchar(268);;;select;;;NULL
def;information_schema;INNODB_TABLESPACES_BRIEF;PATH;3;NULL;NO;varchar;512;1536;NULL;NULL;NULL;utf8;utf8_bin;varchar(512);;;select;;;NULL
def;information_schema;INNODB_TABLESPACES_BRIEF;SPACE;1;NULL;YES;varbinary;256;256;NULL;NULL;NULL;NULL;NULL;varbinary(256);;;select;;;NULL
def;information_schema;INNODB_TABLESPACES_BRIEF;SPACE_TYPE;5;;NO;varchar;7;21;NULL;NULL;NULL;utf8;utf8_general_ci;varchar(7);;;select;;;NULL
def;information_schema;KEY_COLUMN_USAGE;COLUMN_NAME;7;NULL;YES;varchar;64;192;NULL;NULL;NULL;utf8;utf8_tolower_ci;varchar(64);;;select;;;NULL
def;information_schema;KEY_COLUMN_USAGE;CONSTRAINT_CATALOG;1;NULL;YES;varchar;64;192;NULL;NULL;NULL;utf8;utf8_tolower_ci;varchar(64);;;select;;;NULL
def;information_schema;KEY_COLUMN_USAGE;CONSTRAINT_NAME;3;NULL;YES;varchar;64;192;NULL;NULL;NULL;utf8;utf8_tolower_ci;varchar(64);;;select;;;NULL
def;information_schema;KEY_COLUMN_USAGE;CONSTRAINT_SCHEMA;2;NULL;YES;varchar;64;192;NULL;NULL;NULL;utf8;utf8_tolower_ci;varchar(64);;;select;;;NULL
def;information_schema;KEY_COLUMN_USAGE;ORDINAL_POSITION;8;0;NO;int;NULL;NULL;10;0;NULL;NULL;NULL;"int unsigned";;;select;;;NULL
def;information_schema;KEY_COLUMN_USAGE;POSITION_IN_UNIQUE_CONSTRAINT;9;NULL;YES;int;NULL;NULL;10;0;NULL;NULL;NULL;"int unsigned";;;select;;;NULL
def;information_schema;KEY_COLUMN_USAGE;REFERENCED_COLUMN_NAME;12;NULL;YES;varchar;64;192;NULL;NULL;NULL;utf8;utf8_tolower_ci;varchar(64);;;select;;;NULL
def;information_schema;KEY_COLUMN_USAGE;REFERENCED_TABLE_NAME;11;NULL;YES;varchar;64;192;NULL;NULL;NULL;utf8;utf8_tolower_ci;varchar(64);;;select;;;NULL
def;information_schema;KEY_COLUMN_USAGE;REFERENCED_TABLE_SCHEMA;10;NULL;YES;varchar;64;192;NULL;NULL;NULL;utf8;utf8_tolower_ci;varchar(64);;;select;;;NULL
def;information_schema;KEY_COLUMN_USAGE;TABLE_CATALOG;4;NULL;YES;varchar;64;192;NULL;NULL;NULL;utf8;utf8_tolower_ci;varchar(64);;;select;;;NULL
def;information_schema;KEY_COLUMN_USAGE;TABLE_NAME;6;NULL;YES;varchar;64;192;NULL;NULL;NULL;utf8;utf8_tolower_ci;varchar(64);;;select;;;NULL
